Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
888	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	406	TRUE	#N/A	#N/A	NA	NA
105KC	Sarcomatoid	NA	Cartilage	Chondrosarcoma	66	Years	Male	NA	271	FALSE	40%DMEM, 40%MEM, 10%F-12, 10% FBS, 100nM Hydrocortisone, 100ng/mL Insulin, 25ug/ml L-Ascorbic Acid	Complete growth medium, 90%; DMSO, 10%	NA	NA
143B	Sarcomatoid	NA	Bone	Osteosarcoma	13	Years	Female	Caucasian	303	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	143B	NA
23132/87	Stomach	NA	Stomach	Adenocarcinoma	72	Years	Male	NA	593	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	23132/87	23132-87
501A	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	407	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	NA	NA
537 MEL	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	408	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
59M	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	441	TRUE	DMEM, 10% FBS, 2mM Gln, 1mM NaP, 20IU/L Bovine Insulin	90% FBS; 10% DMSO	59M	NA
624 mel	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	407	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
769-P	Kidney	NA	Kidney	Adenocarcinoma	63	Years	Female	Caucasian	167	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	769-P	769-P
786-O	Kidney	NA	Kidney	Adenocarcinoma	58	Years	Male	Caucasian	166	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	786-O	786-0
928 mel	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	405	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
A-375	Skin		Skin	Melanoma	NA	NA	Female	NA	224	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A-375	A375
A-427	Lung	NA	Lung	Carcinoma	52	Years	Male	Caucasian	512	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	A427
A-431	Skin	NA	Skin	Carcinoma Squamous Cell	85	Years	Female	NA	129	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	A431
A-498	Kidney	NA	Kidney	Carcinoma	52	NA	Female	NA	19	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A-498	A498
A-673	Sarcomatoid	NA	Skeletal Muscle	Rhabdomyosarcoma	15	Years	Female	NA	171	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A-673	A673
A172	Brain	NA	Brain	Glioblastoma	NA	NA	Male	NA	298	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	A172	A172
A2058	Skin	NA	Skin	Melanoma	43	Years	Male	Caucasian	404	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A2058	A2058
A2780	Ovary	NA	Ovary	Carcinoma	NA	NA	Female	NA	607	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete Growth Media, 90%; DMSO, 10%	A2780	A2780
A3/KAW	Lymphoid	NA	Blood	Lymphoma	NA	NA	NA	NA	489	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A3/KAW	A3-KAW
A4/Fuk	Lymphoid	NA	Blood	Lymphoma Non-Hodgkins	NA	NA	NA	NA	488	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A4/Fuk	A4-Fuk
A549	Lung	NA	Lung	Carcinoma	58	Years	Male	Caucasian	371	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	A549	A549
ABC-1	Lung	NA	Lung	Adenocarcinoma	NA	NA	NA	NA	370	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	ABC-1	ABC-1
ACHN	Kidney	NA	Kidney	Adenocarcinoma	22	Years	Male	Caucasian	252	TRUE	EMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES	Complete growth medium, 90%; DMSO, 10%	ACHN	ACHN
AGS	Stomach	NA	Stomach	Adenocarcinoma	NA	NA	NA	NA	599	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	AGS	AGS
AMO-1	Lymphoid	NA	Blood	Plasmacytoma	NA	NA	NA	NA	384	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	AMO-1	NA
AN3 CA	Uterus	NA	Uterus	Adenocarcinoma	55	Years	Female	Caucasian	196	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	AN3 CA	AN3-CA
AsPC-1	Pancreas	NA	Pancreas	Adenocarcinoma	62	Years	Female	Caucasian	427	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% Complete Growth Media; 10% DMSO	AsPC-1	AsPC-1
ATRFLOX	Colo-Rectal	NA	Colon	Carcinoma	NA	NA	Male	NA	213	FALSE	McCoys 5A, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
BEN	Lung	NA	Lung	Carcinoma	71	Years	Male	NA	244	TRUE	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BEN	BEN
BFTC-905	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	51	Years	Female	Chinese	117	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BFTC-905	BFTC-905
BFTC-909	Kidney	NA	Kidney	Carcinoma Transitional Cell	64	Years	Male	NA	251	TRUE	DMEM, 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	BFTC-909	BFTC-909
BHY	Head-Neck	NA	Oral Cavity	Carcinoma Squamous Cell	NA	NA	NA	NA	257	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	BHY	BHY
